batch	loss	agg_loss
0	0.058346	0.058346
1	0.059049	0.058353
2	0.039099	0.058161
3	0.056943	0.058149
4	0.046703	0.058034
5	0.025679	0.057711
6	0.047834	0.057612
7	0.039926	0.057435
8	0.032895	0.057190
9	0.021285	0.056831
10	0.045675	0.056719
11	0.045886	0.056611
12	0.035646	0.056401
13	0.037984	0.056217
14	0.063204	0.056287
15	0.016499	0.055889
16	0.042558	0.055756
17	0.034836	0.055546
18	0.019223	0.055183
19	0.027391	0.054905
20	0.049039	0.054847
21	0.015087	0.054449
22	0.022346	0.054128
23	0.021177	0.053798
24	0.021587	0.053476
25	0.030660	0.053248
26	0.032354	0.053039
27	0.012008	0.052629
28	0.045956	0.052562
29	0.053659	0.052573
30	0.013044	0.052178
31	0.008385	0.051740
32	0.031047	0.051533
33	0.020427	0.051222
34	0.014105	0.050851
35	0.053923	0.050882
36	0.016440	0.050537
37	0.011129	0.050143
38	0.037474	0.050016
39	0.034427	0.049860
40	0.004828	0.049410
41	0.051146	0.049427
42	0.047726	0.049410
43	0.004162	0.048958
44	0.019836	0.048667
45	0.007140	0.048251
46	0.027287	0.048042
47	0.027427	0.047836
48	0.010130	0.047459
49	0.021810	0.047202
50	0.027395	0.047004
51	0.026831	0.046802
52	0.017864	0.046513
53	0.005946	0.046107
54	0.054152	0.046188
55	0.018163	0.045907
56	0.004941	0.045498
57	0.025424	0.045297
58	0.010981	0.044954
59	0.004130	0.044546
60	0.046134	0.044562
61	0.035570	0.044472
62	0.009328	0.044120
63	0.008685	0.043766
64	0.036928	0.043697
65	0.012528	0.043386
66	0.009429	0.043046
67	0.023140	0.042847
68	0.007901	0.042498
69	0.044313	0.042516
70	0.041354	0.042504
71	0.030822	0.042387
72	0.013376	0.042097
73	0.034425	0.042021
74	0.049755	0.042098
75	0.018543	0.041862
76	0.014072	0.041584
77	0.043086	0.041599
78	0.024894	0.041432
79	0.022437	0.041242
80	0.026408	0.041094
81	0.028047	0.040964
82	0.030362	0.040858
83	0.034662	0.040796
84	0.040869	0.040796
85	0.013656	0.040525
86	0.008814	0.040208
87	0.022578	0.040032
88	0.035860	0.039990
89	0.033084	0.039921
90	0.024752	0.039769
91	0.037251	0.039744
92	0.004511	0.039392
93	0.032674	0.039324
94	0.026821	0.039199
95	0.012755	0.038935
96	0.024932	0.038795
97	0.003168	0.038439
98	0.029662	0.038351
99	0.004276	0.038010
100	0.018547	0.037816
101	0.021326	0.037651
102	0.050421	0.037778
103	0.020726	0.037608
104	0.019812	0.037430
105	0.020737	0.037263
106	0.021508	0.037105
107	0.042931	0.037164
108	0.007669	0.036869
109	0.021668	0.036717
110	0.012882	0.036478
111	0.041064	0.036524
112	0.010904	0.036268
113	0.017441	0.036080
